basin,model_a,model_b,branch,frac_alpha_significant,sig_at_5pct,sig_at_100pct,NSE_diff_significant
401217,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.0,False,False,False
401217,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,0.06,True,False,False
405264,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.98,True,True,False
405264,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,0.14,False,True,False
226222,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.87,False,False,True
226222,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,0.16,True,False,True
613002,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.0,False,False,False
613002,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,0.0,False,False,False
406208,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.3,True,False,False
406208,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,0.38,False,False,False
230210,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.47,False,True,True
230210,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,1.0,True,True,True
102101A,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.95,False,True,False
102101A,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,0.62,False,True,False
305202,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.63,True,False,True
305202,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,0.79,False,False,True
406224,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.71,True,True,False
406224,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,1.0,True,True,False
616002,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.61,False,True,False
616002,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,1.0,True,True,False
G9070142,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.46,False,False,True
G9070142,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,0.34,True,False,True
G8190001,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.53,True,False,True
G8190001,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,0.0,False,False,True
G9030250,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.49,False,True,True
G9030250,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,0.98,True,True,True
116006B,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.42,False,False,False
116006B,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,0.42,False,False,False
410761,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.71,True,False,False
410761,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,0.0,False,False,False
210006,aus_lstm_nse_s0,aus_gr4j_kge,E_up,0.47,False,True,False
210006,aus_lstm_nse_s0,aus_gr4j_kge,E_lo,0.64,False,True,False
